1 6 11 16
1 6 11 21
1 6 11 26
1 6 11 31
1 6 11 36
1 6 11 41
1 6 11 4
1 6 11 9
1 6 11 14
1 6 11 19
1 6 11 24
1 6 11 29
1 6 11 34
1 6 11 39
1 6 11 44
1 6 16 21
1 6 16 26
1 6 16 31
1 6 16 36
1 6 16 41
1 6 16 4
1 6 16 9
1 6 16 14
1 6 16 19
1 6 16 24
1 6 16 29
1 6 16 34
1 6 16 39
1 6 16 44
1 6 21 26
1 6 21 31
1 6 21 36
1 6 21 41
1 6 21 4
1 6 21 9
1 6 21 14
1 6 21 19
1 6 21 24
1 6 21 29
1 6 21 34
1 6 21 39
1 6 21 44
1 6 26 31
1 6 26 36
1 6 26 41
1 6 26 4
1 6 26 9
1 6 26 14
1 6 26 19
1 6 26 24
1 6 26 29
1 6 26 34
1 6 26 39
1 6 26 44
1 6 31 36
1 6 31 41
1 6 31 4
1 6 31 9
1 6 31 14
1 6 31 19
1 6 31 24
1 6 31 29
1 6 31 34
1 6 31 39
1 6 31 44
1 6 36 41
1 6 36 4
1 6 36 9
1 6 36 14
1 6 36 19
1 6 36 24
1 6 36 29
1 6 36 34
1 6 36 39
1 6 36 44
1 6 41 4
1 6 41 9
1 6 41 14
1 6 41 19
1 6 41 24
1 6 41 29
1 6 41 34
1 6 41 39
1 6 41 44
1 6 4 9
1 6 4 14
1 6 4 19
1 6 4 24
1 6 4 29
1 6 4 34
1 6 4 39
1 6 4 44
1 6 9 14
1 6 9 19
1 6 9 24
1 6 9 29
1 6 9 34
1 6 9 39
1 6 9 44
1 6 14 19
1 6 14 24
1 6 14 29
1 6 14 34
1 6 14 39
1 6 14 44
1 6 19 24
1 6 19 29
1 6 19 34
1 6 19 39
1 6 19 44
1 6 24 29
1 6 24 34
1 6 24 39
1 6 24 44
1 6 29 34
1 6 29 39
1 6 29 44
1 6 34 39
1 6 34 44
1 6 39 44
1 11 16 21
1 11 16 26
1 11 16 31
1 11 16 36
1 11 16 41
1 11 16 4
1 11 16 9
1 11 16 14
1 11 16 19
1 11 16 24
1 11 16 29
1 11 16 34
1 11 16 39
1 11 16 44
1 11 21 26
1 11 21 31
1 11 21 36
1 11 21 41
1 11 21 4
1 11 21 9
1 11 21 14
1 11 21 19
1 11 21 24
1 11 21 29
1 11 21 34
1 11 21 39
1 11 21 44
1 11 26 31
1 11 26 36
1 11 26 41
1 11 26 4
1 11 26 9
1 11 26 14
1 11 26 19
1 11 26 24
1 11 26 29
1 11 26 34
1 11 26 39
1 11 26 44
1 11 31 36
1 11 31 41
1 11 31 4
1 11 31 9
1 11 31 14
1 11 31 19
1 11 31 24
1 11 31 29
1 11 31 34
1 11 31 39
1 11 31 44
1 11 36 41
1 11 36 4
1 11 36 9
1 11 36 14
1 11 36 19
1 11 36 24
1 11 36 29
1 11 36 34
1 11 36 39
1 11 36 44
1 11 41 4
1 11 41 9
1 11 41 14
1 11 41 19
1 11 41 24
1 11 41 29
1 11 41 34
1 11 41 39
1 11 41 44
1 11 4 9
1 11 4 14
1 11 4 19
1 11 4 24
1 11 4 29
1 11 4 34
1 11 4 39
1 11 4 44
1 11 9 14
1 11 9 19
1 11 9 24
1 11 9 29
1 11 9 34
1 11 9 39
1 11 9 44
1 11 14 19
1 11 14 24
1 11 14 29
1 11 14 34
1 11 14 39
1 11 14 44
1 11 19 24
1 11 19 29
1 11 19 34
1 11 19 39
1 11 19 44
1 11 24 29
1 11 24 34
1 11 24 39
1 11 24 44
1 11 29 34
1 11 29 39
1 11 29 44
1 11 34 39
1 11 34 44
1 11 39 44
1 16 21 26
1 16 21 31
1 16 21 36
1 16 21 41
1 16 21 4
1 16 21 9
1 16 21 14
1 16 21 19
1 16 21 24
1 16 21 29
1 16 21 34
1 16 21 39
1 16 21 44
1 16 26 31
1 16 26 36
1 16 26 41
1 16 26 4
1 16 26 9
1 16 26 14
1 16 26 19
1 16 26 24
1 16 26 29
1 16 26 34
1 16 26 39
1 16 26 44
1 16 31 36
1 16 31 41
1 16 31 4
1 16 31 9
1 16 31 14
1 16 31 19
1 16 31 24
1 16 31 29
1 16 31 34
1 16 31 39
1 16 31 44
1 16 36 41
1 16 36 4
1 16 36 9
1 16 36 14
1 16 36 19
1 16 36 24
1 16 36 29
1 16 36 34
1 16 36 39
1 16 36 44
1 16 41 4
1 16 41 9
1 16 41 14
1 16 41 19
1 16 41 24
1 16 41 29
1 16 41 34
1 16 41 39
1 16 41 44
1 16 4 9
1 16 4 14
1 16 4 19
1 16 4 24
1 16 4 29
1 16 4 34
1 16 4 39
1 16 4 44
1 16 9 14
1 16 9 19
1 16 9 24
1 16 9 29
1 16 9 34
1 16 9 39
1 16 9 44
1 16 14 19
1 16 14 24
1 16 14 29
1 16 14 34
1 16 14 39
1 16 14 44
1 16 19 24
1 16 19 29
1 16 19 34
1 16 19 39
1 16 19 44
1 16 24 29
1 16 24 34
1 16 24 39
1 16 24 44
1 16 29 34
1 16 29 39
1 16 29 44
1 16 34 39
1 16 34 44
1 16 39 44
1 21 26 31
1 21 26 36
1 21 26 41
1 21 26 4
1 21 26 9
1 21 26 14
1 21 26 19
1 21 26 24
1 21 26 29
1 21 26 34
1 21 26 39
1 21 26 44
1 21 31 36
1 21 31 41
1 21 31 4
1 21 31 9
1 21 31 14
1 21 31 19
1 21 31 24
1 21 31 29
1 21 31 34
1 21 31 39
1 21 31 44
1 21 36 41
1 21 36 4
1 21 36 9
1 21 36 14
1 21 36 19
1 21 36 24
1 21 36 29
1 21 36 34
1 21 36 39
1 21 36 44
1 21 41 4
1 21 41 9
1 21 41 14
1 21 41 19
1 21 41 24
1 21 41 29
1 21 41 34
1 21 41 39
1 21 41 44
1 21 4 9
1 21 4 14
1 21 4 19
1 21 4 24
1 21 4 29
1 21 4 34
1 21 4 39
1 21 4 44
1 21 9 14
1 21 9 19
1 21 9 24
1 21 9 29
1 21 9 34
1 21 9 39
1 21 9 44
1 21 14 19
1 21 14 24
1 21 14 29
1 21 14 34
1 21 14 39
1 21 14 44
1 21 19 24
1 21 19 29
1 21 19 34
1 21 19 39
1 21 19 44
1 21 24 29
1 21 24 34
1 21 24 39
1 21 24 44
1 21 29 34
1 21 29 39
1 21 29 44
1 21 34 39
1 21 34 44
1 21 39 44
1 26 31 36
1 26 31 41
1 26 31 4
1 26 31 9
1 26 31 14
1 26 31 19
1 26 31 24
1 26 31 29
1 26 31 34
1 26 31 39
1 26 31 44
1 26 36 41
1 26 36 4
1 26 36 9
1 26 36 14
1 26 36 19
1 26 36 24
1 26 36 29
1 26 36 34
1 26 36 39
1 26 36 44
1 26 41 4
1 26 41 9
1 26 41 14
1 26 41 19
1 26 41 24
1 26 41 29
1 26 41 34
1 26 41 39
1 26 41 44
1 26 4 9
1 26 4 14
1 26 4 19
1 26 4 24
1 26 4 29
1 26 4 34
1 26 4 39
1 26 4 44
1 26 9 14
1 26 9 19
1 26 9 24
1 26 9 29
1 26 9 34
1 26 9 39
1 26 9 44
1 26 14 19
1 26 14 24
1 26 14 29
1 26 14 34
1 26 14 39
1 26 14 44
1 26 19 24
1 26 19 29
1 26 19 34
1 26 19 39
1 26 19 44
1 26 24 29
1 26 24 34
1 26 24 39
1 26 24 44
1 26 29 34
1 26 29 39
1 26 29 44
1 26 34 39
1 26 34 44
1 26 39 44
1 31 36 41
1 31 36 4
1 31 36 9
1 31 36 14
1 31 36 19
1 31 36 24
1 31 36 29
1 31 36 34
1 31 36 39
1 31 36 44
1 31 41 4
1 31 41 9
1 31 41 14
1 31 41 19
1 31 41 24
1 31 41 29
1 31 41 34
1 31 41 39
1 31 41 44
1 31 4 9
1 31 4 14
1 31 4 19
1 31 4 24
1 31 4 29
1 31 4 34
1 31 4 39
1 31 4 44
1 31 9 14
1 31 9 19
1 31 9 24
1 31 9 29
1 31 9 34
1 31 9 39
1 31 9 44
1 31 14 19
1 31 14 24
1 31 14 29
1 31 14 34
1 31 14 39
1 31 14 44
1 31 19 24
1 31 19 29
1 31 19 34
1 31 19 39
1 31 19 44
1 31 24 29
1 31 24 34
1 31 24 39
1 31 24 44
1 31 29 34
1 31 29 39
1 31 29 44
1 31 34 39
1 31 34 44
1 31 39 44
1 36 41 4
1 36 41 9
1 36 41 14
1 36 41 19
1 36 41 24
1 36 41 29
1 36 41 34
1 36 41 39
1 36 41 44
1 36 4 9
1 36 4 14
1 36 4 19
1 36 4 24
1 36 4 29
1 36 4 34
1 36 4 39
1 36 4 44
1 36 9 14
1 36 9 19
1 36 9 24
1 36 9 29
1 36 9 34
1 36 9 39
1 36 9 44
1 36 14 19
1 36 14 24
1 36 14 29
1 36 14 34
1 36 14 39
1 36 14 44
1 36 19 24
1 36 19 29
1 36 19 34
1 36 19 39
1 36 19 44
1 36 24 29
1 36 24 34
1 36 24 39
1 36 24 44
1 36 29 34
1 36 29 39
1 36 29 44
1 36 34 39
1 36 34 44
1 36 39 44
1 41 4 9
1 41 4 14
1 41 4 19
1 41 4 24
1 41 4 29
1 41 4 34
1 41 4 39
1 41 4 44
1 41 9 14
1 41 9 19
1 41 9 24
1 41 9 29
1 41 9 34
1 41 9 39
1 41 9 44
1 41 14 19
1 41 14 24
1 41 14 29
1 41 14 34
1 41 14 39
1 41 14 44
1 41 19 24
1 41 19 29
1 41 19 34
1 41 19 39
1 41 19 44
1 41 24 29
1 41 24 34
1 41 24 39
1 41 24 44
1 41 29 34
1 41 29 39
1 41 29 44
1 41 34 39
1 41 34 44
1 41 39 44
1 4 9 14
1 4 9 19
1 4 9 24
1 4 9 29
1 4 9 34
1 4 9 39
1 4 9 44
1 4 14 19
1 4 14 24
1 4 14 29
1 4 14 34
1 4 14 39
1 4 14 44
1 4 19 24
1 4 19 29
1 4 19 34
1 4 19 39
1 4 19 44
1 4 24 29
1 4 24 34
1 4 24 39
1 4 24 44
1 4 29 34
1 4 29 39
1 4 29 44
1 4 34 39
1 4 34 44
1 4 39 44
1 9 14 19
1 9 14 24
1 9 14 29
1 9 14 34
1 9 14 39
1 9 14 44
1 9 19 24
1 9 19 29
1 9 19 34
1 9 19 39
1 9 19 44
1 9 24 29
1 9 24 34
1 9 24 39
1 9 24 44
1 9 29 34
1 9 29 39
1 9 29 44
1 9 34 39
1 9 34 44
1 9 39 44
1 14 19 24
1 14 19 29
1 14 19 34
1 14 19 39
1 14 19 44
1 14 24 29
1 14 24 34
1 14 24 39
1 14 24 44
1 14 29 34
1 14 29 39
1 14 29 44
1 14 34 39
1 14 34 44
1 14 39 44
1 19 24 29
1 19 24 34
1 19 24 39
1 19 24 44
1 19 29 34
1 19 29 39
1 19 29 44
1 19 34 39
1 19 34 44
